#Anbennar
A01	= "countries/Lorent.txt"
A02	= "countries/Deranne.txt"
A03	= "countries/Redglades.txt"
A04	= "countries/Wesdam.txt"
A05	= "countries/Reveria.txt"
A06	= "countries/Nimscodd.txt"
A07	= "countries/North Viswall.txt"
A08	= "countries/South Viswall.txt"
A09	= "countries/Sorncost.txt"
A10	= "countries/Minaran Temple.txt"
A11	= "countries/Pearlsedge.txt"
A12	= "countries/Beepeck.txt"
A13	= "countries/Gawed.txt"
A14	= "countries/Madelaire.txt"
A15	= "countries/Eilisin.txt"
A16	= "countries/Wineport.txt"
A17	= "countries/Great Ording.txt"
