#Värmland | Varivar

owner = A30
controller = A30
#add_core = A30
culture = moon_elf
religion = regent_court

hre = yes

base_tax = 7
base_production = 7
base_manpower = 4

trade_goods = naval_supplies

capital = ""

is_city = yes


discovered_by = tech_cannorian
discovered_by = tech_elven
discovered_by = tech_dwarven
discovered_by = tech_salahadesi
discovered_by = tech_gnomish
discovered_by = tech_orcish

1442.11.11 = {	
	owner = Z42
	controller = Z42
}

1443.11.11 = {	
	owner = A30
	controller = A30
}
